NAZWA,TERYT
bolesławiecki,20100
dzierżoniowski,20200
głogowski,20300
górowski,20400
jaworski,20500
karkonoski,20600
kamiennogórski,20700
kłodzki,20800
legnicki,20900
lubański,21000
lubiński,21100
lwówecki,21200
milicki,21300
oleśnicki,21400
oławski,21500
polkowicki,21600
strzeliński,21700
średzki,21800
świdnicki,21900
trzebnicki,22000
wałbrzyski,22100
wołowski,22200
wrocławski,22300
ząbkowicki,22400
zgorzelecki,22500
złotoryjski,22600
Jelenia Góra,26100
Legnica,26200
Wrocław,26400
Wałbrzych,26500
aleksandrowski,40100
brodnicki,40200
bydgoski,40300
chełmiński,40400
golubsko-dobrzyński,40500
grudziądzki,40600
inowrocławski,40700
lipnowski,40800
mogileński,40900
nakielski,41000
radziejowski,41100
rypiński,41200
sępoleński,41300
świecki,41400
toruński,41500
tucholski,41600
wąbrzeski,41700
włocławski,41800
żniński,41900
Bydgoszcz,46100
Grudziądz,46200
Toruń,46300
Włocławek,46400
bialski,60100
biłgorajski,60200
chełmski,60300
hrubieszowski,60400
janowski,60500
krasnostawski,60600
kraśnicki,60700
lubartowski,60800
lubelski,60900
łęczyński,61000
łukowski,61100
opolski,61200
parczewski,61300
puławski,61400
radzyński,61500
rycki,61600
świdnicki,61700
tomaszowski,61800
włodawski,61900
zamojski,62000
Biała Podlaska,66100
Chełm,66200
Lublin,66300
Zamość,66400
gorzowski,80100
krośnieński,80200
międzyrzecki,80300
nowosolski,80400
słubicki,80500
strzelecko-drezdenecki,80600
sulęciński,80700
świebodziński,80800
zielonogórski,80900
żagański,81000
żarski,81100
wschowski,81200
Gorzów Wielkopolski,86100
Zielona Góra,86200
bełchatowski,100100
kutnowski,100200
łaski,100300
łęczycki,100400
łowicki,100500
łódzki wschodni,100600
opoczyński,100700
pabianicki,100800
pajęczański,100900
piotrkowski,101000
poddębicki,101100
radomszczański,101200
rawski,101300
sieradzki,101400
skierniewicki,101500
tomaszowski,101600
wieluński,101700
wieruszowski,101800
zduńskowolski,101900
zgierski,102000
brzeziński,102100
Łódź,106100
Piotrków Trybunalski,106200
Skierniewice,106300
bocheński,120100
brzeski,120200
chrzanowski,120300
dąbrowski,120400
gorlicki,120500
krakowski,120600
limanowski,120700
miechowski,120800
myślenicki,120900
nowosądecki,121000
nowotarski,121100
olkuski,121200
oświęcimski,121300
proszowicki,121400
suski,121500
tarnowski,121600
tatrzański,121700
wadowicki,121800
wielicki,121900
Kraków,126100
Nowy Sącz,126200
Tarnów,126300
białobrzeski,140100
ciechanowski,140200
garwoliński,140300
gostyniński,140400
grodziski,140500
grójecki,140600
kozienicki,140700
legionowski,140800
lipski,140900
