"Numer okręgu";"Liczba mandatów";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba OKW";"Opis granic"
1;1;3;0;0;"Legnica";"obszary powiatów: bolesławiecki, lubański, lwówecki, zgorzelecki"
2;1;6;0;0;"Legnica";"obejmujący obszary powiatów: jaworski, kamiennogórski, karkonoski, złotoryjski oraz miasta na prawach powiatu: Jelenia Góra"
3;1;4;0;0;"Legnica";"obszary powiatów: głogowski, legnicki, lubiński, polkowicki oraz miasta na prawach powiatu: Legnica"
4;1;3;0;0;"Wałbrzych";"obszary powiatów: świdnicki, wałbrzyski oraz miasta na prawach powiatu: Wałbrzych"
5;1;5;0;0;"Wałbrzych";"obszary powiatów: dzierżoniowski, kłodzki, ząbkowicki"
6;1;3;0;0;"Wrocław";"obszary powiatów: górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski"
7;1;3;0;0;"Wrocław";"część obszaru miasta na prawach powiatu Wrocław: Bieńkowice, Biskupin-Sępolno-Dąbie-Bartoszowice, Borek, Brochów, Gaj, Gajowice, Grabiszyn-Grabiszynek, Huby, Jagodno, Klecina, Krzyki-Partynice, Księże, Oporów, Plac Grunwaldzki, Powstańców Śląskich, Przedmieście Oławskie, Przedmieście Świdnickie, Stare Miasto, Tarnogaj, Ołtaszyn, Wojszyce, Zacisze-Zalesie-Szczytniki"
8;1;3;0;0;"Wrocław";"część obszaru miasta na prawach powiatu Wrocław: Gądów-Popowice Płd. , Jerzmanowo-Jarnołtów-Strachowice-Osiniec, Karłowice-Różanka, Kleczków, Kowale, Kuźniki, Leśnica, Lipa Piotrowska, Maślice, Muchobór Mały, Muchobór Wielki, Nadodrze, Nowy Dwór, Ołbin, Osobowice-Rędzin, Pawłowice, Pilczyce-Kozanów-Popowice Płn. , Polanowice-Poświętne-Ligota, Pracze Odrzańskie, Psie Pole-Zawidawie, Sołtysowice, Strachocin-Swojczyce-Wojnów, Szczepin, Świniary, Widawa, Żerniki"
9;1;3;0;0;"Bydgoszcz";"obszary powiatów: bydgoski, świecki, tucholski oraz miasta na prawach powiatu: Bydgoszcz"
10;1;5;0;0;"Bydgoszcz";"obszary powiatów: inowrocławski, mogileński, nakielski, sępoleński, żniński"
11;1;2;0;0;"Toruń";"obszary powiatów: chełmiński, toruński oraz miasta na prawach powiatu: Toruń"
12;1;4;0;0;"Toruń";"obszary powiatów: brodnicki, golubsko-dobrzyński, grudziądzki, rypiński, wąbrzeski oraz miasta na prawach powiatu: Grudziądz"
13;1;4;0;0;"Toruń";"obszary powiatów: aleksandrowski, lipnowski, radziejowski, włocławski oraz miasta na prawach powiatu: Włocławek"
14;1;3;0;0;"Lublin";"obszary powiatów: lubartowski, łukowski, opolski, puławski, rycki"
15;1;3;0;0;"Lublin";"obszary powiatów: janowski, kraśnicki, lubelski, łęczyński, świdnicki"
16;1;5;0;0;"Lublin";"obszar miasta na prawach powiatu: Lublin"
17;1;2;0;0;"Chełm";"obszary powiatów: bialski, parczewski, radzyński oraz miasta na prawach powiatu: Biała Podlaska"
18;1;3;0;0;"Chełm";"obszary powiatów: chełmski, krasnostawski, włodawski oraz miasta na prawach powiatu: Chełm"
19;1;6;0;0;"Chełm";"obszary powiatów: biłgorajski, hrubieszowski, tomaszowski, zamojski oraz miasta na prawach powiatu: Zamość"
20;1;3;0;0;"Zielona Góra";"obszary powiatów: krośnieński, świebodziński, zielonogórski oraz miasta na prawach powiatu: Zielona Góra"
21;1;2;0;0;"Zielona Góra";"obszary powiatów: gorzowski, międzyrzecki, strzelecko-drezdenecki, słubicki, sulęciński oraz miasta na prawach powiatu: Gorzów Wielkopolski"
22;1;2;0;0;"Zielona Góra";"obszary powiatów: nowosolski, wschowski, żagański, żarski"
23;1;2;0;0;"Łódź";"część obszaru miasta na prawach powiatu Łódź: Osiedle Bałuty Zachodnie, Osiedle Bałuty-Centrum, Osiedle Bałuty-Doły, Osiedle im Józefa Montwiłła-Mireckiego, Osiedle Julianów-Marysin-Rogi, Osiedle Karolew-Retkinia Wschód, Osiedle Katedralna, Osiedle Koziny, Osiedle Lublinek-Pienista, Osiedle Łagiewniki, Osiedle Nad Nerem, Osiedle Radogoszcz, Osiedle Retkinia Zachód-Smulsko, Osiedle Stare Polesie, Osiedle Śródmieście-Wschód, Osiedle Teofilów-Wielkopolska, Osiedle Zdrowie-Mania, Osiedle Złotno"
