powiat,okręg
Świnoujście,41
Szczecin,41
Koszalin,40
łobeski,41
wałecki,40
świdwiński,40
szczecinecki,40
stargardzki,41
sławieński,40
pyrzycki,41
policki,41
myśliborski,41
koszaliński,40
kołobrzeski,40
kamieński,41
gryfiński,41
gryficki,41
goleniowski,41
drawski,40
choszczeński,40
białogardzki,40
Poznań,39
Leszno,36
Konin,37
Kalisz,36
złotowski,38
wrzesiński,37
wolsztyński,38
wągrowiecki,38
turecki,37
śremski,37
średzki_302500,37
szamotulski,38
słupecki,37
rawicki,36
poznański,39
pleszewski,36
pilski,38
ostrzeszowski,36
ostrowski_301700,36
obornicki,38
nowotomyski,38
międzychodzki,38
leszczyński,36
krotoszyński,36
kościański,36
koniński,37
kolski,37
kępiński,36
kaliski,36
jarociński,36
grodziski_300500,38
gostyński,36
gnieźnieński,37
czarnkowsko-trzcianecki,38
chodzieski,38
Olsztyn,35
Elbląg,34
węgorzewski,35
gołdapski,35
szczycieński,35
piski,35
ostródzki,34
olsztyński,35
olecki,35
nowomiejski,34
nidzicki,35
mrągowski,35
lidzbarski,34
kętrzyński,35
iławski,34
giżycki,35
ełcki,35
elbląski,34
działdowski,34
braniewski,34
bartoszycki,34
Kielce,33
włoszczowski,33
staszowski,33
starachowicki,33
skarżyski,33
sandomierski,33
pińczowski,33
ostrowiecki,33
opatowski,33
konecki,33
kielecki,33
kazimierski,33
jędrzejowski,33
buski,33
Żory,30
Zabrze,29
Tychy,31
Świętochłowice,31
Sosnowiec,32
Siemianowice Śląskie,31
Rybnik,30
Ruda Śląska,31
Piekary Śląskie,31
Mysłowice,31
Katowice,31
Jaworzno,32
Jastrzębie-Zdrój,30
Gliwice,29
Dąbrowa Górnicza,32
Częstochowa,28
Chorzów,31
Bytom,29
Bielsko-Biała,27
żywiecki,27
zawierciański,32
wodzisławski,30
bieruńsko-lędziński,31
tarnogórski,29
rybnicki,30
raciborski,30
pszczyński,27
myszkowski,28
mikołowski,30
lubliniecki,28
kłobucki,28
gliwicki,29
częstochowski,28
cieszyński,27
bielski_240200,27
będziński,32
Sopot,25
Słupsk,26
Gdynia,26
Gdańsk,25
sztumski,25
wejherowski,26
tczewski,25
starogardzki,25
słupski,26
pucki,26
nowodworski_221000,25
malborski,25
lęborski,26
kwidzyński,25
kościerski,26
kartuski,26
gdański,25
człuchowski,26
chojnicki,26
bytowski,26
Suwałki,24
Łomża,24
Białystok,24
zambrowski,24
wysokomazowiecki,24
suwalski,24
sokólski,24
siemiatycki,24
sejneński,24
moniecki,24
łomżyński,24
kolneński,24
hajnowski,24
grajewski,24
bielski_200300,24
białostocki,24
augustowski,24
Tarnobrzeg,23
Rzeszów,23
Przemyśl,22
Krosno,22
leski,22
tarnobrzeski,23
strzyżowski,23
stalowowolski,23
sanocki,22
rzeszowski,23
ropczycko-sędziszowski,23
przeworski,22
przemyski,22
niżański,23
mielecki,23
łańcucki,23
lubaczowski,22
leżajski,23
krośnieński_180700,22
kolbuszowski,23
jasielski,22
jarosławski,22
dębicki,23
brzozowski,22
bieszczadzki,22
Opole,21
strzelecki,21
prudnicki,21
opolski_160900,21
oleski,21
nyski,21
namysłowski,21
krapkowicki,21
kluczborski,21
kędzierzyńsko-kozielski,21
głubczycki,21
brzeski_160100,21
Warszawa,19
Siedlce,18
Radom,17
Płock,16
Ostrołęka,18
żyrardowski,16
żuromiński,16
zwoleński,17
wyszkowski,18
wołomiński,20
węgrowski,18
warszawski zachodni,20
szydłowiecki,17
sokołowski,18
sochaczewski,16
sierpecki,16
siedlecki,18
radomski,17
pułtuski,18
przysuski,17
przasnyski,16
pruszkowski,20
płoński,16
płocki,16
piaseczyński,20
otwocki,20
ostrowski_141600,18
ostrołęcki,18
nowodworski_141400,20
mławski,16
miński,18
makowski,18
łosicki,18
lipski,17
legionowski,20
kozienicki,17
grójecki,17
grodziski_140500,20
gostyniński,16
garwoliński,18
ciechanowski,16
białobrzeski,17
Tarnów,15
Nowy Sącz,14
Kraków,13
wielicki,15
wadowicki,12
tatrzański,14
tarnowski,15
suski,12
proszowicki,15
oświęcimski,12
olkuski,13
nowotarski,14
nowosądecki,14
myślenicki,12
miechowski,13
limanowski,14
krakowski,13
gorlicki,14
dąbrowski,15
chrzanowski,12
brzeski_120200,15
bocheński,15
Skierniewice,10
Piotrków Trybunalski,10
Łódź,9
brzeziński,9
zgierski,11
zduńskowolski,11
wieruszowski,11
wieluński,11
tomaszowski_101600,10
skierniewicki,10
sieradzki,11
rawski,10
radomszczański,10
poddębicki,11
piotrkowski,10
pajęczański,11
pabianicki,11
opoczyński,10
