powiat,okręg Sejm,okręg Senat
Świnoujście,41,98
Szczecin,41,97
Koszalin,40,100
łobeski,41,98
wałecki,40,99
świdwiński,40,99
szczecinecki,40,100
stargardzki,41,98
sławieński,40,100
pyrzycki,41,98
policki,41,97
myśliborski,41,98
koszaliński,40,100
kołobrzeski,40,99
kamieński,41,98
gryfiński,41,98
gryficki,41,98
goleniowski,41,98
drawski,40,99
choszczeński,40,99
białogardzki,40,99
Poznań,39,91
Leszno,36,94
Konin,37,93
Kalisz,36,96
złotowski,38,88
wrzesiński,37,92
wolsztyński,38,89
wągrowiecki,38,88
turecki,37,93
śremski,37,92
średzki_302500,37,92
szamotulski,38,89
słupecki,37,92
rawicki,36,94
poznański,39,90
pleszewski,36,96
pilski,38,88
ostrzeszowski,36,95
ostrowski_301700,36,95
obornicki,38,89
nowotomyski,38,89
międzychodzki,38,89
leszczyński,36,94
krotoszyński,36,95
kościański,36,94
koniński,37,93
kolski,37,93
kępiński,36,95
kaliski,36,96
jarociński,36,96
grodziski_300500,38,89
gostyński,36,94
gnieźnieński,37,92
czarnkowsko-trzcianecki,38,88
chodzieski,38,88
Olsztyn,35,86
Elbląg,34,84
węgorzewski,35,87
gołdapski,35,87
szczycieński,35,86
piski,35,87
ostródzki,34,85
olsztyński,35,86
olecki,35,87
nowomiejski,34,85
nidzicki,35,86
mrągowski,35,87
lidzbarski,34,84
kętrzyński,35,87
iławski,34,85
giżycki,35,87
ełcki,35,87
elbląski,34,84
działdowski,34,85
braniewski,34,84
bartoszycki,34,84
Kielce,33,83
włoszczowski,33,81
staszowski,33,81
starachowicki,33,82
skarżyski,33,82
sandomierski,33,82
pińczowski,33,81
ostrowiecki,33,82
opatowski,33,82
konecki,33,81
kielecki,33,83
kazimierski,33,81
jędrzejowski,33,81
buski,33,81
Żory,30,73
Zabrze,29,71
Tychy,31,75
Świętochłowice,31,74
Sosnowiec,32,77
Siemianowice Śląskie,31,74
Rybnik,30,73
Ruda Śląska,31,74
Piekary Śląskie,31,74
Mysłowice,31,75
Katowice,31,80
Jaworzno,32,77
Jastrzębie-Zdrój,30,73
Gliwice,29,70
Dąbrowa Górnicza,32,76
Częstochowa,28,69
Chorzów,31,74
